# eps=1.0: maximum star formation efficiency for FFB
# -----
# z, rho_star[<MUV] [Msun cMpc^-3]
# 
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  20.500     2.342e+03     2.164e+03     1.968e+03     1.754e+03     1.522e+03     1.276e+03     1.021e+03     7.683e+02     5.312e+02     3.289e+02     1.772e+02     8.086e+01     3.059e+01     9.460e+00     2.378e+00     4.859e-01     8.092e-02  
  21.000     1.622e+03     1.491e+03     1.346e+03     1.188e+03     1.019e+03     8.415e+02     6.602e+02     4.833e+02     3.226e+02     1.909e+02     9.744e+01     4.178e+01     1.476e+01     4.252e+00     9.944e-01     1.891e-01     2.932e-02  
  21.500     1.116e+03     1.019e+03     9.131e+02     7.982e+02     6.759e+02     5.488e+02     4.210e+02     2.992e+02     1.922e+02     1.085e+02     5.230e+01     2.103e+01     6.936e+00     1.860e+00     4.048e-01     7.166e-02     1.034e-02  
  22.000     7.625e+02     6.915e+02     6.141e+02     5.310e+02     4.433e+02     3.534e+02     2.645e+02     1.821e+02     1.122e+02     6.019e+01     2.735e+01     1.030e+01     3.166e+00     7.903e-01     1.601e-01     2.638e-02     3.534e-03  
  22.500     5.164e+02     4.647e+02     4.089e+02     3.493e+02     2.872e+02     2.243e+02     1.635e+02     1.086e+02     6.403e+01     3.255e+01     1.390e+01     4.891e+00     1.401e+00     3.255e-01     6.140e-02     9.421e-03     1.171e-03  
  23.000     3.464e+02     3.091e+02     2.692e+02     2.270e+02     1.835e+02     1.401e+02     9.911e+01     6.338e+01     3.562e+01     1.710e+01     6.849e+00     2.248e+00     5.995e-01     1.296e-01     2.274e-02     3.239e-03     3.706e-04  
  23.500     2.298e+02     2.032e+02     1.750e+02     1.454e+02     1.154e+02     8.591e+01     5.882e+01     3.607e+01     1.925e+01     8.705e+00     3.260e+00     9.969e-01     2.472e-01     4.968e-02     8.109e-03     1.071e-03     1.127e-04  
  24.000     1.506e+02     1.319e+02     1.121e+02     9.171e+01     7.122e+01     5.159e+01     3.407e+01     1.996e+01     1.008e+01     4.275e+00     1.493e+00     4.245e-01     9.775e-02     1.824e-02     2.758e-03     3.344e-04     3.168e-05  
  24.500     9.727e+01     8.428e+01     7.067e+01     5.677e+01     4.306e+01     3.023e+01     1.918e+01     1.068e+01     5.083e+00     2.016e+00     6.548e-01     1.727e-01     3.688e-02     6.382e-03     8.918e-04     9.899e-05     8.438e-06  
  25.000     6.184e+01     5.292e+01     4.369e+01     3.439e+01     2.539e+01     1.721e+01     1.044e+01     5.504e+00     2.455e+00     9.063e-01     2.729e-01     6.660e-02     1.315e-02     2.098e-03     2.675e-04     2.653e-05     1.961e-06  
