# eps=0.3: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
  12.500   1.187e+05   9.797e+04   7.380e+04   4.654e+04   2.033e+04   4.370e+03    3.132e+02    6.449e+00    4.425e-02    1.010e-04    5.811e-08  
  13.000   8.825e+04   7.142e+04   5.207e+04   3.084e+04   1.181e+04   2.000e+03    1.064e+02    1.737e+00    9.984e-03    1.806e-05    7.372e-09  
  13.500   6.512e+04   5.150e+04   3.614e+04   1.984e+04   6.486e+03   8.510e+02    3.482e+01    4.721e-01    2.263e-03    3.207e-06    9.364e-10  
  14.000   4.751e+04   3.657e+04   2.453e+04   1.227e+04   3.349e+03   3.432e+02    1.129e+01    1.296e-01    5.107e-04    5.589e-07    1.144e-10  
  14.500   3.412e+04   2.546e+04   1.619e+04   7.269e+03   1.644e+03   1.348e+02    3.683e+00    3.563e-02    1.137e-04    9.225e-08    1.212e-11  
  15.000   2.401e+04   1.733e+04   1.038e+04   4.149e+03   7.816e+02   5.254e+01    1.206e+00    9.749e-03    2.498e-05    1.501e-08    1.301e-12  
  15.500   1.653e+04   1.155e+04   6.507e+03   2.308e+03   3.651e+02   2.039e+01    3.936e-01    2.641e-03    5.376e-06    2.336e-09    1.199e-13  
  16.000   1.118e+04   7.595e+03   4.017e+03   1.262e+03   1.684e+02   7.866e+00    1.274e-01    7.059e-04    1.128e-06    3.472e-10    2.942e-26  
  16.500   7.510e+03   4.964e+03   2.454e+03   6.806e+02   7.675e+01   3.002e+00    4.075e-02    1.856e-04    2.289e-07    4.879e-11          nan  
  17.000   5.045e+03   3.233e+03   1.485e+03   3.617e+02   3.446e+01   1.130e+00    1.284e-02    4.780e-05    4.465e-08    6.424e-12          nan  
  17.500   3.395e+03   2.097e+03   8.888e+02   1.891e+02   1.521e+01   4.187e-01    3.978e-03    1.201e-05    8.295e-09    7.794e-13          nan  
  18.000   2.285e+03   1.352e+03   5.249e+02   9.705e+01   6.583e+00   1.523e-01    1.209e-03    2.923e-06    1.449e-09    7.969e-14          nan  
  18.500   1.533e+03   8.641e+02   3.051e+02   4.879e+01   2.791e+00   5.433e-02    3.599e-04    6.844e-07    2.375e-10    1.970e-26          nan  
  19.000   1.024e+03   5.466e+02   1.742e+02   2.400e+01   1.158e+00   1.900e-02    1.045e-04    1.529e-07    3.609e-11          nan          nan  
  19.500   6.796e+02   3.413e+02   9.758e+01   1.154e+01   4.701e-01   6.507e-03    2.948e-05    3.228e-08    5.039e-12          nan          nan  
  20.000   4.469e+02   2.100e+02   5.350e+01   5.414e+00   1.865e-01   2.179e-03    8.020e-06    6.374e-09    6.352e-13          nan          nan  
  20.500   2.908e+02   1.271e+02   2.867e+01   2.479e+00   7.226e-02   7.114e-04    2.085e-06    1.164e-09    6.603e-14          nan          nan  
  21.000   1.870e+02   7.552e+01   1.500e+01   1.106e+00   2.732e-02   2.269e-04    5.339e-07    2.193e-10    4.118e-15          nan          nan  
  21.500   1.186e+02   4.398e+01   7.650e+00   4.800e-01   1.006e-02   6.966e-05    1.246e-07    3.385e-11          nan          nan          nan  
  22.000   7.407e+01   2.505e+01   3.795e+00   2.024e-01   3.595e-03   2.048e-05    2.682e-08    4.686e-12          nan          nan          nan  
  22.500   4.547e+01   1.393e+01   1.827e+00   8.274e-02   1.246e-03   5.842e-06    5.761e-09    6.956e-13          nan          nan          nan  
  23.000   2.738e+01   7.535e+00   8.516e-01   3.269e-02   4.149e-04   1.532e-06    1.032e-09    7.376e-14          nan          nan          nan  
  23.500   1.612e+01   3.955e+00   3.829e-01   1.244e-02   1.328e-04   3.879e-07    1.870e-10    7.534e-15          nan          nan          nan  
  24.000   9.256e+00   2.006e+00   1.654e-01   4.531e-03   3.985e-05   8.542e-08    2.611e-11          nan          nan          nan          nan  
  24.500   5.161e+00   9.788e-01   6.828e-02   1.572e-03   1.133e-05   1.808e-08    3.732e-12          nan          nan          nan          nan  
  25.000   2.780e+00   4.563e-01   2.674e-02   5.123e-04   2.877e-06   3.061e-09    3.678e-13          nan          nan          nan          nan  
