# eps=0.2: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
  16.500   4.542e+03   2.741e+03   1.143e+03   2.379e+02   1.858e+01   4.986e-01    4.650e-03    1.386e-05    9.786e-09    1.000e-12          nan  
  17.000   2.992e+03   1.739e+03   6.627e+02   1.191e+02   7.820e+00   1.762e-01    1.369e-03    3.275e-06    1.677e-09    1.123e-13          nan  
  17.500   1.981e+03   1.099e+03   3.796e+02   5.870e+01   3.240e+00   6.127e-02    3.962e-04    7.492e-07    2.720e-10    1.158e-14          nan  
  18.000   1.313e+03   6.899e+02   2.142e+02   2.838e+01   1.318e+00   2.094e-02    1.123e-04    1.647e-07    4.127e-11    1.014e-15          nan  
  18.500   8.680e+02   4.287e+02   1.188e+02   1.345e+01   5.253e-01   7.024e-03    3.102e-05    3.450e-08    5.811e-12    2.234e-28          nan  
  19.000   5.706e+02   2.630e+02   6.461e+01   6.233e+00   2.052e-01   2.309e-03    8.319e-06    6.822e-09    7.532e-13          nan          nan  
  19.500   3.720e+02   1.589e+02   3.440e+01   2.823e+00   7.845e-02   7.427e-04    2.150e-06    1.261e-09    8.915e-14          nan          nan  
  20.000   2.400e+02   9.442e+01   1.791e+01   1.249e+00   2.933e-02   2.330e-04    5.304e-07    2.158e-10    9.495e-15          nan          nan  
  20.500   1.530e+02   5.505e+01   9.105e+00   5.391e-01   1.072e-02   7.100e-05    1.237e-07    3.368e-11    8.397e-16          nan          nan  
  21.000   9.617e+01   3.144e+01   4.513e+00   2.268e-01   3.823e-03   2.114e-05    2.869e-08    5.594e-12    4.711e-17          nan          nan  
  21.500   5.951e+01   1.756e+01   2.178e+00   9.288e-02   1.326e-03   5.984e-06    5.877e-09    7.332e-13          nan          nan          nan  
  22.000   3.618e+01   9.570e+00   1.022e+00   3.696e-02   4.459e-04   1.603e-06    1.097e-09    8.521e-14          nan          nan          nan  
  22.500   2.157e+01   5.078e+00   4.647e-01   1.426e-02   1.453e-04   4.185e-07    2.087e-10    1.100e-14          nan          nan          nan  
  23.000   1.258e+01   2.617e+00   2.044e-01   5.314e-03   4.507e-05   9.758e-08    3.175e-11    9.735e-16          nan          nan          nan  
  23.500   7.154e+00   1.305e+00   8.667e-02   1.906e-03   1.343e-05   2.219e-08    4.989e-12    8.705e-17          nan          nan          nan  
  24.000   3.954e+00   6.272e-01   3.527e-02   6.527e-04   3.679e-06   4.221e-09    5.789e-13          nan          nan          nan          nan  
  24.500   2.115e+00   2.891e-01   1.370e-02   2.125e-04   9.554e-07   7.848e-10    7.093e-14          nan          nan          nan          nan  
  25.000   1.089e+00   1.270e-01   5.034e-03   6.430e-05   2.143e-07   1.113e-10    5.728e-15          nan          nan          nan          nan  
