# eps=0.7: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
  10.000   1.073e+06   9.923e+05   8.888e+05   7.544e+05   5.810e+05   3.700e+05    1.604e+05    3.399e+04    2.391e+03    4.402e+01    2.283e-01  
  10.500   8.220e+05   7.551e+05   6.688e+05   5.565e+05   4.129e+05   2.439e+05    9.113e+04    1.498e+04    7.482e+02    9.843e+00    3.977e-02  
  11.000   6.272e+05   5.717e+05   4.998e+05   4.065e+05   2.888e+05   1.563e+05    4.922e+04    6.127e+03    2.172e+02    2.133e+00    6.925e-03  
  11.500   4.767e+05   4.306e+05   3.709e+05   2.938e+05   1.985e+05   9.695e+04    2.513e+04    2.322e+03    5.936e+01    4.587e-01    1.207e-03  
  12.000   3.608e+05   3.226e+05   2.731e+05   2.099e+05   1.338e+05   5.797e+04    1.206e+04    8.181e+02    1.566e+01    9.934e-02    2.095e-04  
  12.500   2.718e+05   2.401e+05   1.994e+05   1.481e+05   8.811e+04   3.319e+04    5.407e+03    2.712e+02    4.092e+00    2.170e-02    3.615e-05  
  13.000   2.037e+05   1.775e+05   1.442e+05   1.029e+05   5.647e+04   1.807e+04    2.268e+03    8.655e+01    1.078e+00    4.744e-03    6.086e-06  
  13.500   1.517e+05   1.301e+05   1.030e+05   7.016e+04   3.499e+04   9.295e+03    9.008e+02    2.726e+01    2.862e-01    1.031e-03    1.011e-06  
  14.000   1.120e+05   9.430e+04   7.253e+04   4.679e+04   2.084e+04   4.534e+03    3.456e+02    8.603e+00    7.606e-02    2.213e-04    1.634e-07  
  14.500   8.182e+04   6.750e+04   5.023e+04   3.041e+04   1.192e+04   2.123e+03    1.306e+02    2.723e+00    2.009e-02    4.637e-05    2.438e-08  
  15.000   5.903e+04   4.762e+04   3.415e+04   1.924e+04   6.592e+03   9.682e+02    4.905e+01    8.602e-01    5.246e-03    9.549e-06    3.526e-09  
  15.500   4.198e+04   3.310e+04   2.283e+04   1.191e+04   3.553e+03   4.343e+02    1.832e+01    2.695e-01    1.351e-03    1.914e-06    4.327e-10  
  16.000   2.947e+04   2.274e+04   1.505e+04   7.235e+03   1.878e+03   1.922e+02    6.783e+00    8.346e-02    3.420e-04    3.715e-07    1.315e-22  
  16.500   2.049e+04   1.549e+04   9.816e+03   4.331e+03   9.762e+02   8.390e+01    2.480e+00    2.548e-02    8.485e-05    6.926e-08          nan  
  17.000   1.418e+04   1.049e+04   6.346e+03   2.558e+03   4.990e+02   3.605e+01    8.933e-01    7.653e-03    2.054e-05    1.228e-08          nan  
  17.500   9.794e+03   7.067e+03   4.067e+03   1.489e+03   2.504e+02   1.521e+01    3.163e-01    2.257e-03    4.822e-06    2.022e-09          nan  
  18.000   6.746e+03   4.738e+03   2.582e+03   8.524e+02   1.232e+02   6.294e+00    1.099e-01    6.518e-04    1.090e-06    2.755e-10          nan  
  18.500   4.633e+03   3.158e+03   1.620e+03   4.793e+02   5.933e+01   2.551e+00    3.748e-02    1.838e-04    2.351e-07    8.484e-23          nan  
  19.000   3.169e+03   2.090e+03   1.004e+03   2.643e+02   2.794e+01   1.012e+00    1.252e-02    5.034e-05    4.798e-08          nan          nan  
  19.500   2.156e+03   1.371e+03   6.123e+02   1.427e+02   1.285e+01   3.930e-01    4.094e-03    1.332e-05    9.148e-09          nan          nan  
  20.000   1.458e+03   8.897e+02   3.674e+02   7.531e+01   5.772e+00   1.492e-01    1.307e-03    3.373e-06    1.590e-09          nan          nan  
  20.500   9.782e+02   5.706e+02   2.164e+02   3.881e+01   2.529e+00   5.532e-02    4.054e-04    8.094e-07    2.250e-10          nan          nan  
  21.000   6.503e+02   3.609e+02   1.249e+02   1.951e+01   1.080e+00   2.002e-02    1.229e-04    1.927e-07    1.711e-11          nan          nan  
  21.500   4.278e+02   2.249e+02   7.054e+01   9.549e+00   4.487e-01   7.052e-03    3.556e-05    4.082e-08          nan          nan          nan  
  22.000   2.781e+02   1.377e+02   3.889e+01   4.543e+00   1.812e-01   2.409e-03    9.764e-06    7.886e-09          nan          nan          nan  
  22.500   1.784e+02   8.276e+01   2.089e+01   2.097e+00   7.091e-02   7.977e-04    2.610e-06    1.536e-09          nan          nan          nan  
  23.000   1.128e+02   4.868e+01   1.090e+01   9.358e-01   2.682e-02   2.521e-04    6.278e-07    2.313e-10          nan          nan          nan  
  23.500   7.006e+01   2.794e+01   5.509e+00   4.027e-01   9.764e-03   7.654e-05    1.469e-07    3.063e-11          nan          nan          nan  
  24.000   4.269e+01   1.560e+01   2.685e+00   1.663e-01   3.396e-03   2.149e-05    2.902e-08          nan          nan          nan          nan  
  24.500   2.542e+01   8.439e+00   1.256e+00   6.559e-02   1.124e-03   5.717e-06    5.575e-09          nan          nan          nan          nan  
  25.000   1.474e+01   4.396e+00   5.601e-01   2.449e-02   3.468e-04   1.326e-06    8.252e-10          nan          nan          nan          nan  
