# eps=0.6: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
  20.500   7.927e+02   4.432e+02   1.550e+02   2.457e+01   1.384e+00   2.619e-02    1.645e-04    2.664e-07    5.620e-11          nan          nan  
  21.000   5.244e+02   2.777e+02   8.806e+01   1.209e+01   5.779e-01   9.270e-03    4.853e-05    6.099e-08    4.148e-12          nan          nan  
  21.500   3.431e+02   1.712e+02   4.889e+01   5.793e+00   2.349e-01   3.191e-03    1.357e-05    1.226e-08          nan          nan          nan  
  22.000   2.217e+02   1.037e+02   2.649e+01   2.697e+00   9.277e-02   1.064e-03    3.587e-06    2.239e-09          nan          nan          nan  
  22.500   1.413e+02   6.157e+01   1.397e+01   1.218e+00   3.553e-02   3.438e-04    9.252e-07    4.163e-10          nan          nan          nan  
  23.000   8.867e+01   3.574e+01   7.148e+00   5.316e-01   1.314e-02   1.056e-04    2.121e-07    5.904e-11          nan          nan          nan  
  23.500   5.465e+01   2.023e+01   3.540e+00   2.237e-01   4.678e-03   3.114e-05    4.754e-08    7.424e-12          nan          nan          nan  
  24.000   3.300e+01   1.112e+01   1.689e+00   9.031e-02   1.588e-03   8.420e-06    8.859e-09          nan          nan          nan          nan  
  24.500   1.946e+01   5.914e+00   7.728e-01   3.479e-02   5.127e-04   2.159e-06    1.618e-09          nan          nan          nan          nan  
  25.000   1.116e+01   3.024e+00   3.367e-01   1.268e-02   1.535e-04   4.758e-07    2.235e-10          nan          nan          nan          nan  
