# eps=0.9: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
  11.000   8.008e+05   7.386e+05   6.559e+05   5.463e+05   4.046e+05   2.374e+05    8.698e+04    1.369e+04    6.424e+02    8.126e+00    3.335e-02  
  11.500   6.102e+05   5.581e+05   4.890e+05   3.979e+05   2.821e+05   1.515e+05    4.666e+04    5.545e+03    1.868e+02    1.828e+00    6.152e-03  
  12.000   4.628e+05   4.193e+05   3.618e+05   2.867e+05   1.932e+05   9.354e+04    2.362e+04    2.087e+03    5.196e+01    4.138e-01    1.135e-03  
  12.500   3.494e+05   3.131e+05   2.655e+05   2.041e+05   1.297e+05   5.557e+04    1.123e+04    7.363e+02    1.420e+01    9.466e-02    2.084e-04  
  13.000   2.623e+05   2.322e+05   1.930e+05   1.433e+05   8.495e+04   3.156e+04    5.005e+03    2.483e+02    3.893e+00    2.175e-02    3.756e-05  
  13.500   1.957e+05   1.708e+05   1.388e+05   9.897e+04   5.405e+04   1.704e+04    2.107e+03    8.191e+01    1.077e+00    4.977e-03    6.678e-06  
  14.000   1.449e+05   1.244e+05   9.854e+04   6.704e+04   3.323e+04   8.744e+03    8.524e+02    2.692e+01    2.986e-01    1.127e-03    1.158e-06  
  14.500   1.062e+05   8.957e+04   6.892e+04   4.440e+04   1.971e+04   4.302e+03    3.374e+02    8.862e+00    8.243e-02    2.503e-04    1.883e-07  
  15.000   7.704e+04   6.366e+04   4.743e+04   2.872e+04   1.131e+04   2.055e+03    1.322e+02    2.911e+00    2.254e-02    5.466e-05    2.955e-08  
  15.500   5.515e+04   4.464e+04   3.213e+04   1.820e+04   6.328e+03   9.624e+02    5.139e+01    9.497e-01    6.080e-03    1.167e-05    3.892e-09  
  16.000   3.900e+04   3.095e+04   2.148e+04   1.133e+04   3.469e+03   4.438e+02    1.979e+01    3.063e-01    1.615e-03    2.420e-06    1.251e-21  
  16.500   2.733e+04   2.128e+04   1.421e+04   6.952e+03   1.869e+03   2.016e+02    7.522e+00    9.743e-02    4.212e-04    4.846e-07          nan  
  17.000   1.905e+04   1.453e+04   9.321e+03   4.211e+03   9.902e+02   9.005e+01    2.816e+00    3.050e-02    1.075e-04    9.273e-08          nan  
  17.500   1.323e+04   9.877e+03   6.064e+03   2.516e+03   5.152e+02   3.950e+01    1.036e+00    9.380e-03    2.672e-05    1.653e-08          nan  
  18.000   9.165e+03   6.678e+03   3.910e+03   1.481e+03   2.628e+02   1.698e+01    3.743e-01    2.829e-03    6.428e-06    2.441e-09          nan  
  18.500   6.327e+03   4.491e+03   2.497e+03   8.570e+02   1.313e+02   7.149e+00    1.326e-01    8.345e-04    1.485e-06    7.934e-22          nan  
  19.000   4.350e+03   3.000e+03   1.575e+03   4.868e+02   6.412e+01   2.945e+00    4.602e-02    2.401e-04    3.266e-07          nan          nan  
  19.500   2.977e+03   1.989e+03   9.805e+02   2.711e+02   3.060e+01   1.186e+00    1.564e-02    6.701e-05    6.750e-08          nan          nan  
  20.000   2.025e+03   1.306e+03   6.010e+02   1.477e+02   1.426e+01   4.672e-01    5.194e-03    1.802e-05    1.276e-08          nan          nan  
  20.500   1.367e+03   8.480e+02   3.622e+02   7.865e+01   6.477e+00   1.796e-01    1.682e-03    4.623e-06    1.957e-09          nan          nan  
  21.000   9.156e+02   5.439e+02   2.142e+02   4.087e+01   2.868e+00   6.741e-02    5.318e-04    1.169e-06    1.584e-10          nan          nan  
  21.500   6.071e+02   3.440e+02   1.241e+02   2.070e+01   1.236e+00   2.463e-02    1.617e-04    2.683e-07          nan          nan          nan  
  22.000   3.982e+02   2.142e+02   7.032e+01   1.020e+01   5.171e-01   8.736e-03    4.700e-05    5.655e-08          nan          nan          nan  
  22.500   2.579e+02   1.310e+02   3.887e+01   4.873e+00   2.098e-01   3.005e-03    1.327e-05    1.185e-08          nan          nan          nan  
  23.000   1.647e+02   7.858e+01   2.090e+01   2.255e+00   8.227e-02   9.919e-04    3.430e-06    1.959e-09          nan          nan          nan  
  23.500   1.035e+02   4.608e+01   1.090e+01   1.006e+00   3.106e-02   3.147e-04    8.571e-07    2.781e-10          nan          nan          nan  
  24.000   6.391e+01   2.634e+01   5.494e+00   4.312e-01   1.123e-02   9.341e-05    1.853e-07          nan          nan          nan          nan  
  24.500   3.862e+01   1.461e+01   2.661e+00   1.766e-01   3.865e-03   2.627e-05    3.856e-08          nan          nan          nan          nan  
  25.000   2.277e+01   7.829e+00   1.231e+00   6.860e-02   1.248e-03   6.573e-06    6.357e-09          nan          nan          nan          nan  
