# eps=0.3: maximum star formation efficiency for FFB
# FFB attenuation mode: shell. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  20.500           nan           nan     6.781e+22     6.081e+22     5.345e+22     4.580e+22     3.796e+22     3.010e+22     2.247e+22     1.546e+22     9.524e+21     5.083e+21     2.267e+21     8.156e+20     2.288e+20     4.860e+19     7.607e+18     8.568e+17     6.805e+16     3.745e+15     1.408e+14  
  21.000           nan           nan     4.746e+22     4.230e+22     3.689e+22     3.129e+22     2.560e+22     1.994e+22     1.455e+22     9.705e+21     5.749e+21     2.923e+21     1.232e+21     4.158e+20     1.089e+20     2.149e+19     3.118e+18     3.251e+17     2.387e+16     1.214e+15     4.216e+13  
  21.500           nan           nan     3.300e+22     2.921e+22     2.525e+22     2.118e+22     1.708e+22     1.305e+22     9.283e+21     5.990e+21     3.403e+21     1.645e+21     6.535e+20     2.066e+20     5.043e+19     9.248e+18     1.244e+18     1.199e+17     8.141e+15     3.825e+14     1.228e+13  
  22.000           nan           nan     2.277e+22     2.000e+22     1.712e+22     1.419e+22     1.126e+22     8.425e+21     5.828e+21     3.629e+21     1.971e+21     9.034e+20     3.378e+20     9.987e+19     2.270e+19     3.864e+18     4.812e+17     4.293e+16     2.693e+15     1.169e+14     3.466e+12  
  22.500           nan           nan     1.556e+22     1.356e+22     1.149e+22     9.391e+21     7.321e+21     5.355e+21     3.594e+21     2.153e+21     1.116e+21     4.834e+20     1.697e+20     4.686e+19     9.902e+18     1.563e+18     1.801e+17     1.485e+16     8.606e+14     3.450e+13     9.445e+11  
  23.000           nan           nan     1.053e+22     9.090e+21     7.614e+21     6.133e+21     4.690e+21     3.345e+21     2.172e+21     1.248e+21     6.150e+20     2.514e+20     8.267e+19     2.127e+19     4.173e+18     6.098e+17     6.497e+16     4.947e+15     2.645e+14     9.783e+12     2.471e+11  
  23.500           nan           nan     7.046e+21     6.020e+21     4.979e+21     3.946e+21     2.954e+21     2.049e+21     1.284e+21     7.054e+20     3.293e+20     1.266e+20     3.889e+19     9.304e+18     1.692e+18     2.286e+17     2.248e+16     1.578e+15     7.777e+13     2.650e+12     6.165e+10  
  24.000           nan           nan     4.653e+21     3.932e+21     3.207e+21     2.496e+21     1.825e+21     1.227e+21     7.392e+20     3.870e+20     1.706e+20     6.147e+19     1.760e+19     3.905e+18     6.564e+17     8.183e+16     7.413e+15     4.790e+14     2.171e+13     6.801e+11     1.455e+10  
  24.500           nan           nan     3.029e+21     2.528e+21     2.030e+21     1.548e+21     1.103e+21     7.164e+20     4.133e+20     2.053e+20     8.514e+19     2.864e+19     7.614e+18     1.562e+18     2.422e+17     2.778e+16     2.312e+15     1.372e+14     5.702e+12     1.638e+11     3.212e+09  
  25.000           nan           nan     1.938e+21     1.596e+21     1.259e+21     9.388e+20     6.489e+20     4.058e+20     2.232e+20     1.047e+20     4.065e+19     1.272e+19     3.127e+18     5.913e+17     8.421e+16     8.857e+15     6.750e+14     3.662e+13     1.391e+12     3.649e+10     6.534e+08  
