# eps=0.4: maximum star formation efficiency for FFB
# FFB attenuation mode: None. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  18.000     7.962e+23     6.893e+23     6.129e+23     5.534e+23     5.017e+23     4.522e+23     4.027e+23     3.522e+23     3.005e+23     2.480e+23     1.959e+23     1.457e+23     1.002e+23     6.215e+22     3.395e+22     1.596e+22     6.330e+21     2.093e+21     5.727e+20     1.295e+20     2.423e+19  
  18.500     5.127e+23     4.589e+23     4.186e+23     3.835e+23     3.495e+23     3.150e+23     2.794e+23     2.426e+23     2.048e+23     1.666e+23     1.290e+23     9.347e+22     6.206e+22     3.686e+22     1.911e+22     8.463e+21     3.146e+21     9.714e+20     2.479e+20     5.225e+19     9.113e+18  
  19.000     3.419e+23     3.153e+23     2.917e+23     2.684e+23     2.445e+23     2.196e+23     1.936e+23     1.666e+23     1.390e+23     1.112e+23     8.425e+22     5.929e+22     3.792e+22     2.151e+22     1.056e+22     4.401e+21     1.532e+21     4.418e+20     1.052e+20     2.068e+19     3.365e+18  
  19.500     2.365e+23     2.208e+23     2.050e+23     1.885e+23     1.711e+23     1.528e+23     1.337e+23     1.139e+23     9.371e+22     7.365e+22     5.445e+22     3.713e+22     2.281e+22     1.233e+22     5.724e+21     2.241e+21     7.303e+20     1.967e+20     4.371e+19     8.023e+18     1.218e+18  
  20.000     1.664e+23     1.556e+23     1.442e+23     1.322e+23     1.194e+23     1.059e+23     9.184e+22     7.734e+22     6.268e+22     4.828e+22     3.476e+22     2.291e+22     1.349e+22     6.930e+21     3.037e+21     1.117e+21     3.405e+20     8.568e+19     1.778e+19     3.049e+18     4.323e+17  
  20.500     1.174e+23     1.096e+23     1.012e+23     9.236e+22     8.293e+22     7.300e+22     6.268e+22     5.212e+22     4.153e+22     3.129e+22     2.189e+22     1.391e+22     7.830e+21     3.815e+21     1.576e+21     5.436e+20     1.551e+20     3.648e+19     7.075e+18     1.134e+18     1.500e+17  
  21.000     8.266e+22     7.693e+22     7.078e+22     6.421e+22     5.726e+22     4.998e+22     4.244e+22     3.479e+22     2.722e+22     2.002e+22     1.357e+22     8.292e+21     4.453e+21     2.055e+21     7.989e+20     2.583e+20     6.896e+19     1.516e+19     2.750e+18     4.121e+17     5.093e+16  
  21.500     5.796e+22     5.373e+22     4.918e+22     4.435e+22     3.925e+22     3.393e+22     2.847e+22     2.298e+22     1.762e+22     1.262e+22     8.274e+21     4.849e+21     2.478e+21     1.081e+21     3.950e+20     1.197e+20     2.989e+19     6.147e+18     1.043e+18     1.460e+17     1.679e+16  
  22.000     4.040e+22     3.728e+22     3.393e+22     3.039e+22     2.667e+22     2.282e+22     1.889e+22     1.499e+22     1.124e+22     7.828e+21     4.950e+21     2.775e+21     1.347e+21     5.540e+20     1.902e+20     5.396e+19     1.261e+19     2.425e+18     3.846e+17     5.023e+16     5.352e+15  
  22.500     2.796e+22     2.566e+22     2.322e+22     2.064e+22     1.795e+22     1.518e+22     1.239e+22     9.650e+21     7.065e+21     4.769e+21     2.901e+21     1.552e+21     7.133e+20     2.763e+20     8.897e+19     2.363e+19     5.163e+18     9.292e+17     1.378e+17     1.679e+16     1.659e+15  
  23.000     1.918e+22     1.751e+22     1.573e+22     1.387e+22     1.194e+22     9.979e+21     8.017e+21     6.118e+21     4.362e+21     2.847e+21     1.661e+21     8.456e+20     3.673e+20     1.337e+20     4.033e+19     1.002e+19     2.047e+18     3.443e+17     4.761e+16     5.371e+15     4.848e+14  
  23.500     1.303e+22     1.182e+22     1.055e+22     9.218e+21     7.851e+21     6.471e+21     5.109e+21     3.812e+21     2.640e+21     1.661e+21     9.269e+20     4.476e+20     1.833e+20     6.260e+19     1.766e+19     4.100e+18     7.829e+17     1.230e+17     1.585e+16     1.655e+15     1.368e+14  
  24.000     8.757e+21     7.891e+21     6.985e+21     6.046e+21     5.089e+21     4.132e+21     3.200e+21     2.329e+21     1.563e+21     9.447e+20     5.022e+20     2.294e+20     8.828e+19     2.823e+19     7.440e+18     1.612e+18     2.871e+17     4.198e+16     4.997e+15     4.751e+14     3.504e+13  
  24.500     5.812e+21     5.200e+21     4.563e+21     3.908e+21     3.247e+21     2.592e+21     1.965e+21     1.391e+21     9.009e+20     5.214e+20     2.632e+20     1.133e+20     4.086e+19     1.220e+19     2.999e+18     6.057e+17     1.005e+17     1.365e+16     1.498e+15     1.298e+14     8.586e+12  
  25.000     3.802e+21     3.375e+21     2.933e+21     2.483e+21     2.033e+21     1.593e+21     1.179e+21     8.090e+20     5.038e+20     2.779e+20     1.326e+20     5.358e+19     1.805e+19     5.021e+18     1.148e+18     2.154e+17     3.311e+16     4.130e+15     4.097e+14     3.139e+13     1.794e+12  
